Game,Date,Hours Played,Recommendation,Helpful Votes
1222670,2021-10-07,428.6,Recommended,104
1222670,2021-10-11,1.1,Not Recommended,248
1222670,2021-06-18,283.6,Recommended,183
1222670,2024-08-24,417.8,Not Recommended,166
1222670,2020-06-26,124.6,Recommended,200
1222670,2022-09-29,256.0,Recommended,731
1222670,2024-03-22,467.1,Not Recommended,209
1222670,2020-09-09,39.5,Not Recommended,119
1222670,2024-02-11,193.6,Recommended,122
1222670,2024-02-18,46.7,Recommended,158
1222670,2023-12-28,8.8,Not Recommended,183
1222670,2021-04-06,85.0,Recommended,888
1222670,2024-04-17,155.0,Recommended,216
1222670,2022-08-07,6.1,Recommended,158
1222670,2020-11-30,150.3,Recommended,233
1222670,2023-08-14,818.9,Recommended,107
1222670,2021-08-26,15.2,Not Recommended,121
1222670,2024-02-23,714.4,Recommended,153
1222670,2022-11-28,5.0,Recommended,255
1222670,2020-10-31,29.0,Recommended,532
1222670,2022-01-31,1448.3,Recommended,282
1222670,2021-12-23,2.3,Recommended,160
1222670,2022-04-23,50.2,Recommended,112
1222670,2020-07-11,26.3,Not Recommended,140
1222670,2022-09-19,58.2,Recommended,395
1222670,2024-02-25,1159.2,Recommended,109
1222670,2023-04-24,34.6,Recommended,236
1222670,2022-10-06,279.3,Recommended,327
1222670,2021-06-18,77.2,Recommended,331
1222670,2023-12-02,0.3,Recommended,79
1222670,2022-03-04,456.4,Not Recommended,117
1222670,2021-04-07,260.2,Recommended,195
1222670,2022-07-30,492.4,Recommended,243
1222670,2024-12-02,386.5,Not Recommended,310
1222670,2024-04-02,6.1,Recommended,267
1222670,2023-03-27,220.0,Recommended,108
1222670,2021-11-11,12.7,Recommended,229
1222670,2022-12-05,7.6,Not Recommended,217
1222670,2023-08-11,67.9,Recommended,112
1222670,2023-06-05,1440.7,Recommended,118
1222670,2024-04-29,131.6,Recommended,100
1222670,2022-08-31,47.6,Recommended,103
1222670,2022-01-03,85.8,Recommended,111
1222670,2022-03-10,307.7,Recommended,142
1222670,2021-10-26,91.5,Recommended,112
1222670,2023-09-03,245.4,Recommended,98
1222670,2024-07-17,72.3,Recommended,145
1222670,2020-07-13,81.8,Recommended,78
1222670,2022-01-03,0.2,Not Recommended,424
1222670,2020-07-02,0.2,Not Recommended,13
1222670,2022-04-16,249.9,Recommended,235
1222670,2022-10-17,9.7,Recommended,277
1222670,2020-12-28,1546.3,Recommended,93
1222670,2023-11-10,98.1,Recommended,106
1222670,2023-03-09,320.5,Recommended,316
1222670,2024-01-09,75.9,Recommended,73
1222670,2023-02-12,418.5,Not Recommended,153
1222670,2020-07-03,616.2,Recommended,77
1222670,2020-06-22,0.2,Not Recommended,375
1222670,2020-06-19,0.7,Not Recommended,921
1222670,2021-12-06,1979.6,Recommended,105
1222670,2023-03-17,131.0,Not Recommended,95
1222670,2023-09-05,30.3,Not Recommended,82
1222670,2024-03-16,2.9,Recommended,285
1222670,2020-06-23,240.0,Recommended,86
1222670,2021-11-25,78.5,Recommended,140
1222670,2023-02-04,2.5,Recommended,123
1222670,2020-06-30,10.5,Not Recommended,319
