Game,Date,Hours Played,Recommendation,Helpful Votes
730,2022-06-18,171.5,Recommended,500
730,2020-01-03,301.2,Recommended,173
730,2023-03-05,178.0,Recommended,2811
730,2021-09-28,2669.4,Recommended,556
730,2017-06-01,2203.5,Recommended,514
730,2024-06-04,2112.5,Not Recommended,589
730,2018-06-16,20465.6,Recommended,490
730,2021-11-12,5960.8,Recommended,286
730,2021-11-27,1390.3,Recommended,638
730,2016-08-24,630.4,Recommended,875
730,2018-12-31,319.9,Recommended,373
730,2021-08-18,1241.3,Recommended,218
730,2014-07-13,1366.0,Recommended,20453
730,2023-01-11,128.3,Recommended,320
730,2019-11-02,5424.5,Recommended,657
730,2021-03-04,1357.8,Recommended,313
730,2024-10-13,5648.3,Recommended,234
730,2020-06-08,3198.4,Recommended,1096
730,2023-11-03,1072.8,Recommended,658
730,2017-10-08,2220.5,Recommended,819
730,2024-11-19,6698.3,Not Recommended,329
730,2022-02-15,268.4,Recommended,306
730,2020-07-01,14.9,Recommended,418
730,2016-02-11,2188.1,Recommended,464
730,2022-04-08,2220.4,Recommended,615
730,2024-09-18,207.2,Recommended,307
730,2018-08-17,43.1,Recommended,1265
730,2019-06-06,414.1,Recommended,773
730,2016-09-01,744.7,Recommended,507
730,2023-10-01,275.7,Recommended,360
730,2015-07-11,6018.0,Recommended,8408
730,2019-11-05,2674.2,Recommended,206
730,2015-02-01,1071.0,Recommended,6676
730,2022-10-19,2757.6,Recommended,175
730,2017-12-19,2314.3,Recommended,248
730,2020-07-12,384.3,Recommended,361
730,2022-07-18,1118.0,Recommended,352
730,2019-06-04,655.3,Recommended,247
730,2018-04-25,670.1,Recommended,623
730,2022-11-25,1610.7,Recommended,310
730,2024-01-20,168.4,Not Recommended,2658
730,2020-08-18,1510.7,Recommended,229
730,2023-03-07,31.8,Not Recommended,877
730,2024-09-21,685.3,Recommended,226
730,2021-01-28,404.4,Recommended,381
730,2023-09-08,176.6,Recommended,1362
730,2018-03-22,5467.9,Recommended,391
