Game,Date,Hours Played,Recommendation,Helpful Votes
578080,2020-03-26,240.5,Not Recommended,379
578080,2018-01-25,587.5,Recommended,512
578080,2020-12-16,496.6,Not Recommended,237
578080,2022-08-18,412.6,Not Recommended,287
578080,2024-09-01,54.3,Recommended,130
578080,2018-08-19,362.2,Not Recommended,774
578080,2021-07-16,42.4,Not Recommended,372
578080,2017-06-24,133.5,Recommended,3467
578080,2019-11-28,779.9,Not Recommended,257
578080,2018-03-11,343.2,Not Recommended,1707
578080,2024-07-13,5.4,Recommended,247
578080,2017-08-30,441.3,Not Recommended,4240
578080,2019-11-28,632.5,Not Recommended,250
578080,2021-11-15,6150.0,Not Recommended,224
578080,2019-11-19,193.1,Not Recommended,802
578080,2022-07-01,718.5,Not Recommended,464
578080,2024-07-10,3936.8,Not Recommended,159
578080,2019-06-20,2210.7,Not Recommended,814
578080,2018-08-27,1227.7,Not Recommended,418
578080,2017-12-29,82.2,Not Recommended,500
578080,2021-08-09,1575.8,Recommended,359
578080,2021-07-09,21.5,Not Recommended,490
578080,2023-10-17,9.7,Not Recommended,264
578080,2020-07-12,1604.2,Not Recommended,186
578080,2018-01-29,575.0,Recommended,803
578080,2021-01-05,1133.5,Not Recommended,287
578080,2024-06-29,66.1,Not Recommended,184
578080,2018-03-13,370.2,Not Recommended,1547
578080,2017-06-27,392.2,Recommended,592
578080,2018-03-10,166.9,Not Recommended,1080
578080,2017-11-03,6129.2,Recommended,78
578080,2019-02-10,734.0,Not Recommended,217
578080,2024-06-12,43.5,Recommended,420
578080,2019-09-15,2706.1,Recommended,1
578080,2017-03-23,230.8,Recommended,177
578080,2022-09-09,1488.4,Recommended,92
578080,2018-06-23,127.0,Not Recommended,275
578080,2020-06-05,2451.8,Not Recommended,59
578080,2023-07-17,8.1,Recommended,240
578080,2022-12-28,126.7,Not Recommended,439
578080,2017-03-27,271.1,Recommended,2788
578080,2018-03-25,28.9,Not Recommended,924
578080,2022-04-02,3228.3,Recommended,174
578080,2018-02-24,1195.7,Recommended,515
578080,2022-01-12,189.1,Not Recommended,4321
578080,2023-07-30,931.6,Not Recommended,169
578080,2018-12-19,776.3,Not Recommended,847
578080,2021-07-08,82.3,Not Recommended,215
578080,2024-03-23,33.7,Not Recommended,409
578080,2021-11-27,436.3,Not Recommended,201
578080,2020-10-04,833.6,Not Recommended,220
578080,2018-03-10,528.1,Not Recommended,870
578080,2020-10-03,1673.5,Recommended,252
578080,2018-06-21,75.0,Not Recommended,1837
578080,2018-10-03,1354.6,Not Recommended,366
578080,2023-08-27,485.6,Recommended,81
578080,2022-07-24,3513.9,Not Recommended,264
578080,2024-06-24,802.8,Not Recommended,199
578080,2024-08-06,585.9,Not Recommended,129
578080,2020-07-22,364.5,Not Recommended,221
578080,2023-12-31,8.8,Not Recommended,211
578080,2023-02-07,321.4,Not Recommended,140
578080,2021-10-08,9.1,Not Recommended,354
578080,2021-09-02,65.8,Not Recommended,294
578080,2024-08-23,354.3,Recommended,143
578080,2022-09-23,11.0,Not Recommended,318
578080,2023-04-08,333.1,Not Recommended,114
578080,2018-04-18,1836.6,Not Recommended,1503
578080,2017-08-21,210.3,Recommended,427
578080,2024-02-25,5.1,Recommended,1293
578080,2018-09-14,3659.6,Not Recommended,373
578080,2022-04-08,1069.7,Not Recommended,213
578080,2022-04-05,333.3,Not Recommended,323
578080,2019-02-06,1209.8,Recommended,306
578080,2024-11-16,7147.5,Recommended,73
578080,2020-02-24,437.1,Not Recommended,358
578080,2020-01-03,1587.0,Not Recommended,272
578080,2020-12-05,575.6,Not Recommended,248
578080,2019-10-23,245.0,Not Recommended,361
578080,2020-01-24,1037.6,Not Recommended,223
578080,2018-08-08,470.8,Not Recommended,570
578080,2019-07-24,588.2,Not Recommended,249
578080,2019-11-09,2462.9,Not Recommended,144
578080,2018-03-01,510.2,Recommended,615
578080,2017-11-04,412.3,Not Recommended,401
578080,2021-11-06,1075.5,Not Recommended,306
578080,2017-12-11,81.4,Recommended,1137
578080,2021-01-16,1579.4,Not Recommended,237
578080,2019-08-24,1372.5,Not Recommended,220
578080,2023-02-18,12456.5,Not Recommended,89
578080,2017-08-17,115.9,Not Recommended,9469
578080,2018-02-28,65.1,Not Recommended,133
578080,2020-10-22,648.2,Recommended,187
578080,2024-08-05,625.6,Recommended,117
578080,2020-10-07,913.3,Not Recommended,170
578080,2017-08-24,32.5,Not Recommended,7041
578080,2020-08-11,485.2,Not Recommended,7
578080,2023-03-06,2872.1,Not Recommended,194
578080,2019-01-08,1252.7,Recommended,0
578080,2023-01-11,445.0,Not Recommended,339
578080,2022-11-01,911.7,Recommended,114
578080,2020-04-22,356.7,Not Recommended,210
578080,2020-09-02,2658.7,Not Recommended,343
578080,2023-02-06,12.7,Not Recommended,228
578080,2019-04-16,1047.4,Recommended,219
578080,2023-07-03,80.0,Not Recommended,233
578080,2023-12-01,3.2,Not Recommended,1565
578080,2018-11-05,623.8,Not Recommended,345
578080,2021-07-31,37.7,Recommended,1036
578080,2023-08-25,522.1,Not Recommended,89
578080,2017-04-29,154.6,Recommended,341
578080,2021-09-02,287.9,Not Recommended,554
578080,2020-02-20,234.6,Not Recommended,287
578080,2023-03-28,5127.7,Not Recommended,326
578080,2019-06-28,6.5,Recommended,477
578080,2022-03-29,87.2,Recommended,140
578080,2021-10-27,1939.3,Not Recommended,170
578080,2023-09-16,2427.9,Not Recommended,164
578080,2021-04-02,103.6,Not Recommended,250
578080,2022-12-12,19.8,Not Recommended,283
578080,2023-04-15,1730.2,Recommended,493
578080,2017-03-28,223.0,Recommended,110
578080,2023-01-19,16.2,Not Recommended,164
578080,2022-11-22,765.2,Recommended,198
578080,2024-10-10,405.6,Not Recommended,161
578080,2017-06-22,334.5,Recommended,2553
578080,2018-10-13,40.1,Not Recommended,470
578080,2023-07-28,3651.2,Recommended,61
578080,2022-10-21,2.2,Not Recommended,481
578080,2021-10-13,1167.8,Not Recommended,315
578080,2017-04-03,437.6,Not Recommended,14
578080,2024-11-07,115.6,Not Recommended,262
578080,2024-02-01,255.8,Not Recommended,177
578080,2019-07-01,700.2,Recommended,311
578080,2024-04-09,363.8,Not Recommended,186
578080,2018-06-20,793.1,Not Recommended,231
578080,2022-12-19,802.2,Not Recommended,190
578080,2018-08-08,428.4,Not Recommended,261
578080,2018-04-24,937.0,Not Recommended,584
578080,2019-12-26,2217.7,Not Recommended,618
578080,2023-04-09,231.0,Recommended,94
578080,2021-06-25,162.7,Not Recommended,294
578080,2018-07-31,3288.8,Not Recommended,571
578080,2022-07-16,197.6,Not Recommended,168
578080,2022-11-30,839.8,Recommended,165
578080,2018-07-19,833.7,Not Recommended,414
578080,2019-09-20,721.5,Not Recommended,140
578080,2022-11-23,405.1,Not Recommended,260
578080,2018-12-28,1426.6,Not Recommended,184
578080,2021-07-03,1881.5,Recommended,146
578080,2023-04-10,580.7,Not Recommended,91
578080,2019-01-18,1243.3,Not Recommended,325
578080,2017-10-26,690.0,Not Recommended,3181
578080,2017-08-09,778.3,Not Recommended,10296
578080,2017-04-05,1375.2,Recommended,136
578080,2018-10-03,149.0,Not Recommended,666
578080,2023-08-10,996.3,Not Recommended,100
578080,2017-08-14,191.3,Not Recommended,9232
578080,2017-12-21,966.1,Recommended,1222
578080,2023-12-09,1.9,Recommended,143
578080,2018-10-03,313.5,Not Recommended,312
578080,2017-08-13,216.7,Not Recommended,4678
578080,2024-10-10,104.5,Not Recommended,120
578080,2024-02-11,1856.6,Recommended,114
578080,2017-04-04,1940.1,Recommended,265
578080,2023-12-06,1883.1,Not Recommended,138
578080,2022-03-14,1368.0,Not Recommended,286
578080,2017-06-17,4732.9,Recommended,992
578080,2019-02-22,246.0,Not Recommended,547
578080,2022-01-14,3574.9,Recommended,1469
578080,2018-03-30,938.1,Recommended,309
578080,2024-06-22,1.7,Recommended,757
578080,2023-07-30,24.0,Recommended,110
578080,2020-11-24,288.5,Not Recommended,235
578080,2018-10-17,154.5,Not Recommended,91
578080,2018-07-25,2861.2,Not Recommended,351
578080,2022-06-25,341.5,Not Recommended,129
578080,2018-04-15,137.7,Recommended,550
578080,2017-12-21,120.4,Recommended,1164
578080,2017-10-26,181.1,Not Recommended,1958
578080,2017-03-27,456.8,Recommended,401
578080,2019-08-14,870.4,Not Recommended,187
578080,2019-01-02,1046.3,Not Recommended,215
578080,2017-10-26,1686.8,Not Recommended,2612
578080,2019-10-19,1962.2,Not Recommended,183
578080,2018-10-26,638.7,Not Recommended,488
578080,2023-06-30,1493.3,Not Recommended,269
578080,2022-06-30,42.0,Not Recommended,129
578080,2017-12-14,601.1,Not Recommended,3170
578080,2018-06-03,26.0,Recommended,3126
578080,2023-04-17,1714.6,Not Recommended,136
578080,2023-07-16,259.7,Not Recommended,140
578080,2020-10-15,3168.7,Not Recommended,126
578080,2017-03-24,356.2,Recommended,443
578080,2020-12-31,2089.9,Recommended,90
578080,2018-03-07,1157.2,Not Recommended,46
578080,2019-03-28,93.1,Not Recommended,383
578080,2020-12-23,66.4,Recommended,77
578080,2022-12-30,64.0,Recommended,328
578080,2021-04-01,21.9,Recommended,711
578080,2024-03-28,491.8,Not Recommended,121
578080,2021-01-12,4929.0,Not Recommended,193
578080,2021-08-05,2851.5,Not Recommended,167
578080,2018-09-08,347.0,Not Recommended,305
578080,2018-01-11,418.4,Not Recommended,337
578080,2017-12-21,202.6,Recommended,899
578080,2021-08-29,345.6,Not Recommended,201
578080,2023-03-08,10.0,Not Recommended,239
578080,2019-10-23,118.1,Not Recommended,216
578080,2022-03-21,24.8,Recommended,289
578080,2017-06-26,49.0,Recommended,74
578080,2023-07-23,120.8,Not Recommended,135
578080,2022-01-25,0.6,Not Recommended,321
578080,2019-08-31,279.8,Not Recommended,172
578080,2017-04-06,1124.2,Not Recommended,35
578080,2022-02-02,139.3,Not Recommended,297
578080,2017-08-29,334.5,Not Recommended,1131
578080,2018-06-20,180.4,Not Recommended,138
578080,2022-01-19,355.3,Recommended,963
578080,2023-02-13,3023.1,Recommended,138
578080,2018-02-22,344.7,Not Recommended,612
578080,2022-10-24,0.5,Recommended,477
578080,2023-07-23,101.0,Not Recommended,139
578080,2021-06-24,616.2,Recommended,384
578080,2023-01-22,52.1,Not Recommended,120
578080,2018-06-08,80.4,Not Recommended,899
578080,2021-07-19,29.5,Not Recommended,353
578080,2022-02-04,55.5,Recommended,58
578080,2022-01-12,27.4,Recommended,425
578080,2024-11-27,252.3,Not Recommended,144
578080,2022-04-10,115.7,Recommended,123
578080,2020-07-22,728.1,Recommended,2
578080,2017-06-21,973.4,Recommended,50
578080,2018-06-22,8261.1,Recommended,0
578080,2020-11-21,63.0,Not Recommended,324
578080,2019-11-22,67.2,Not Recommended,237
578080,2017-10-19,969.3,Not Recommended,832
578080,2018-01-13,57.3,Recommended,256
578080,2023-11-12,764.7,Not Recommended,52
578080,2019-10-01,1886.4,Not Recommended,519
578080,2021-07-07,12.7,Not Recommended,199
578080,2024-06-12,245.1,Not Recommended,148
578080,2024-06-13,116.9,Recommended,184
578080,2024-06-15,528.1,Not Recommended,98
578080,2018-03-23,469.4,Not Recommended,1056
578080,2023-10-03,18.1,Recommended,525
578080,2018-01-25,412.6,Not Recommended,140
578080,2023-09-29,405.9,Not Recommended,123
578080,2020-06-04,4.4,Not Recommended,138
578080,2023-09-10,12822.5,Not Recommended,74
578080,2017-03-23,316.7,Recommended,643
578080,2023-06-24,1.3,Recommended,423
578080,2024-09-14,413.1,Not Recommended,72
578080,2022-02-03,233.0,Recommended,116
578080,2018-03-13,309.6,Not Recommended,65
578080,2021-08-09,31.9,Not Recommended,109
578080,2021-02-21,1037.5,Not Recommended,53
578080,2017-06-29,2100.1,Recommended,389
578080,2017-06-09,112.4,Recommended,495
578080,2021-10-21,48.5,Not Recommended,72
578080,2019-10-23,239.8,Not Recommended,272
578080,2018-06-20,566.8,Not Recommended,181
578080,2022-07-28,29.1,Not Recommended,159
578080,2024-07-19,526.0,Recommended,440
578080,2023-11-23,1053.3,Recommended,80
578080,2020-08-18,1081.0,Not Recommended,117
578080,2021-09-13,281.4,Not Recommended,104
578080,2022-07-22,243.8,Recommended,61
578080,2022-01-12,17.3,Not Recommended,206
578080,2019-02-27,945.6,Not Recommended,135
578080,2017-04-06,199.7,Not Recommended,5333
578080,2018-03-19,66.8,Not Recommended,456
578080,2021-02-08,27.9,Not Recommended,107
578080,2017-08-28,821.4,Not Recommended,2727
578080,2018-02-27,798.2,Not Recommended,31
578080,2023-11-05,912.6,Not Recommended,103
578080,2021-10-14,50.3,Recommended,129
578080,2022-07-12,6899.4,Recommended,39
578080,2017-10-26,1595.3,Not Recommended,834
578080,2023-04-04,7.5,Recommended,296
578080,2019-03-24,1395.6,Recommended,65
578080,2023-12-14,191.3,Not Recommended,154
578080,2020-10-21,97.0,Not Recommended,200
578080,2017-10-26,104.7,Recommended,200
578080,2023-03-05,82.4,Recommended,639
578080,2017-09-09,270.7,Not Recommended,1433
578080,2020-12-16,1157.6,Not Recommended,74
578080,2017-07-02,691.3,Recommended,283
578080,2018-11-20,776.5,Not Recommended,437
578080,2017-07-29,12.9,Not Recommended,2839
